/Users/saheb/home/rl-snake/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /Users/saheb/.netrc.
wandb: Currently logged in as: saheb37 to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run jlalqc30
wandb: Tracking run with wandb version 0.26.0
wandb: Run data is saved locally in /Users/saheb/home/rl-snake/wandb/run-20260516_195358-jlalqc30
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ConvDQN_v3_16x16_dense_seed1
wandb: ⭐️ View project at https://wandb.ai/saheb37/rl-snake
wandb: 🚀 View run at https://wandb.ai/saheb37/rl-snake/runs/jlalqc30
ConvDQN v3 | 16×16 dense | γ=0.995 batch=512 calls/ep=10 lr=0.000126 n_steps=1 ε_end=0.01 ε_decay/step=2.30e-06
Game 12900 | Score: 40 | Record: 56 | Mean: 8.56 | ε: 0.010 | Steps: 1,835,533
Game 13000 | Score: 28 | Record: 63 | Mean: 8.66 | ε: 0.010 | Steps: 1,864,635
Game 13100 | Score: 22 | Record: 63 | Mean: 8.75 | ε: 0.010 | Steps: 1,889,136
Game 13200 | Score: 29 | Record: 63 | Mean: 8.86 | ε: 0.010 | Steps: 1,921,041
Game 13300 | Score: 35 | Record: 63 | Mean: 8.94 | ε: 0.010 | Steps: 1,945,403
Game 13400 | Score: 43 | Record: 63 | Mean: 9.04 | ε: 0.010 | Steps: 1,973,244
Game 13500 | Score: 14 | Record: 63 | Mean: 9.12 | ε: 0.010 | Steps: 1,998,352
Game 13600 | Score: 23 | Record: 63 | Mean: 9.22 | ε: 0.010 | Steps: 2,027,509
Game 13700 | Score: 24 | Record: 63 | Mean: 9.31 | ε: 0.010 | Steps: 2,053,986
Game 13800 | Score: 9 | Record: 63 | Mean: 9.40 | ε: 0.010 | Steps: 2,081,003
Game 13900 | Score: 10 | Record: 63 | Mean: 9.48 | ε: 0.010 | Steps: 2,106,069
[Game 14000] LR cooldown → 1e-5
Game 14000 | Score: 23 | Record: 63 | Mean: 9.56 | ε: 0.010 | Steps: 2,132,183
Game 14100 | Score: 25 | Record: 63 | Mean: 9.64 | ε: 0.010 | Steps: 2,159,058
Game 14200 | Score: 29 | Record: 63 | Mean: 9.73 | ε: 0.010 | Steps: 2,187,871
Game 14300 | Score: 2 | Record: 63 | Mean: 9.81 | ε: 0.010 | Steps: 2,215,710
Game 14400 | Score: 45 | Record: 63 | Mean: 9.88 | ε: 0.010 | Steps: 2,240,151
Game 14500 | Score: 39 | Record: 63 | Mean: 9.96 | ε: 0.010 | Steps: 2,267,588
Game 14600 | Score: 33 | Record: 63 | Mean: 10.04 | ε: 0.010 | Steps: 2,295,401
Game 14700 | Score: 22 | Record: 63 | Mean: 10.11 | ε: 0.010 | Steps: 2,321,226
Game 14800 | Score: 7 | Record: 63 | Mean: 10.19 | ε: 0.010 | Steps: 2,348,639
Game 14900 | Score: 12 | Record: 63 | Mean: 10.28 | ε: 0.010 | Steps: 2,377,596
Game 15000 | Score: 43 | Record: 63 | Mean: 10.37 | ε: 0.010 | Steps: 2,407,852
Game 15100 | Score: 7 | Record: 63 | Mean: 10.45 | ε: 0.010 | Steps: 2,436,707
Game 15200 | Score: 37 | Record: 63 | Mean: 10.53 | ε: 0.010 | Steps: 2,466,628
Game 15300 | Score: 5 | Record: 63 | Mean: 10.60 | ε: 0.010 | Steps: 2,492,494
Game 15400 | Score: 26 | Record: 63 | Mean: 10.69 | ε: 0.010 | Steps: 2,524,286
Game 15500 | Score: 22 | Record: 63 | Mean: 10.76 | ε: 0.010 | Steps: 2,553,521
Game 15600 | Score: 25 | Record: 63 | Mean: 10.84 | ε: 0.010 | Steps: 2,582,215
Game 15700 | Score: 5 | Record: 63 | Mean: 10.90 | ε: 0.010 | Steps: 2,608,571
Game 15800 | Score: 6 | Record: 63 | Mean: 10.97 | ε: 0.010 | Steps: 2,637,059
Game 15900 | Score: 23 | Record: 63 | Mean: 11.03 | ε: 0.010 | Steps: 2,662,771
Game 16000 | Score: 56 | Record: 63 | Mean: 11.11 | ε: 0.010 | Steps: 2,693,509

Done. Best: 63, Final Mean: 11.11
wandb: updating run metadata
wandb: uploading output.log; uploading wandb-summary.json; uploading config.yaml
wandb: uploading output.log; uploading wandb-summary.json
wandb: uploading history steps 159-159, summary, console lines 161-163
wandb: 
wandb: Run history:
wandb:     Epsilon ███▇▇▇▆▆▆▆▅▅▅▄▄▃▃▃▃▃▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb:        Game ▁▁▁▁▁▂▂▂▃▃▃▃▄▄▄▄▄▄▄▅▅▅▅▅▅▆▆▆▆▆▆▆▇▇▇▇▇▇▇█
wandb:  Mean_Score ▁▁▁▁▁▁▁▁▁▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▄▄▄▅▅▆▆▇▇▇▇▇▇▇█
wandb:      Record ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▂▂▂▂▄▅▆▆▆▆▆▇▇▇▇▇████████
wandb:       Score ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▂▂▆▅▁▅▅▃▅▂▂▅▇▅▂▇█▅▆▇▅█▇▅
wandb: Total_Steps ▁▁▁▁▁▁▁▂▂▂▂▂▂▂▂▂▂▂▃▃▃▃▃▃▄▄▄▄▄▅▅▆▆▆▆▇▇███
wandb: 
wandb: Run summary:
wandb:     Epsilon 0.01
wandb:        Game 16000
wandb:  Mean_Score 11.10794
wandb:      Record 63
wandb:       Score 56
wandb: Total_Steps 2693509
wandb: 
wandb: 🚀 View run ConvDQN_v3_16x16_dense_seed1 at: https://wandb.ai/saheb37/rl-snake/runs/jlalqc30
wandb: ⭐️ View project at: https://wandb.ai/saheb37/rl-snake
wandb: Synced 5 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260516_195358-jlalqc30/logs
